domain,siteID,siteType,upstreamWatershedAreaKM2,reachSlopeM,reachSlopePercent,averageBankfullWidthM,d50ParticleSizeMM,threeXMedQ,threeXMedQPlusUnc,threeXMedQUnc,usgsProxy,ptpSite
D01,HOPB,stream,12,0.03,3,8.1,68,484.11,551.438,67.328,ID01174000,HARV
D02,LEWI,stream,12,0.01,1,5.3,< 2,184.26,235.507,51.247,,BLAN
D02,POSE,stream,2,0.03,3,4.3,14,33.33,43.861,10.531,ID01636210,SCBI
D03,FLNT,river,14999,NA,NA,NA,NA,419256,467813,48557,ID02355350,JERC
D04,GUIL,stream,10,0.02,2,12,48,348.63,405.099,56.469,ID50025155,GUIL
D04,CUPE,stream,4,0.03,3,8.7,47,109.56,187.667,78.107,ID50136400,CUPE
D06,KING,stream,13,0.0004,0,7.1,27,182.52,344.413,161.893,ID06879650,KONZ
D06,MCDI,stream,23,0.01,1,21.1,53,263.76,623.639,359.879,ID06888500,MCDI
D07,LECO,stream,9,0.06,6,8.5,77,619.71,854.398,234.688,ID03461200,GRSM
D07,WALK,stream,1,0.03,3,3.5,27,27.75,40.1855,12.4355,ID03538270,ORNL
D08,BLWA,river,16159,NA,NA,NA,NA,592233,863484,271251,ID02466030,DELA
D08,TOMB,river,47085,NA,NA,NA,NA,1571585.01,3644729,2073143.99,ID02469761,LENO
D08,MAYF,stream,14,0.0034,0.3,5.5,< 2,498.09,576.274,78.184,ID02465493,TALL
D10,ARIK,stream,2632,0.0032,0.3,5.8,< 2,87.39,122.727,35.337,ID06821500,ARIK
D11,PRIN,stream,49,0.0021,0.2,7.2,< 2,78.72,145.777,67.057,ID08042700,PRIN
D11,BLUE,stream,322,0.0019,0.2,32,32,275,NA,NA,ID07332390,BLUE
D12,BLDE,stream,38,0.02,2,6.2,28,182.37,209.59,27.22,ID06187500,YELL
D13,COMO,stream,4,0.09,9,6.3,27,23.43,35.9445,12.5145,ID06722500,NIWO
D13,WLOU,stream,5,0.05,5,2.7,38,55.77,70.1312,14.3612,,WLOU
D14,SYCA,stream,280,0.01,1,9.9,< 2,188.22,383.423,195.203,ID09510200,SYCA
D15,REDB,stream,17,0.04,4,3.2,10,3.78,NA,NA,ID10172200,REDB
D16,MART,stream,6,0.03,3,9,47,416.31,519.374,103.064,ID14123500,WREF
D16,MCRA,stream,4,0.07,7,6.5,117,299.01,409.593,110.583,ID14161500,
D17,TECR,stream,3,0.0718,7.2,NA,NA,38.58,49.7747,11.1947,ID11251000,TEAK
D17,BIGC,stream,11,0.0049,0.5,6.2,2,103.77,121.701,17.931,ID11251000,BIGC
D18,TOOK_inflow,lake,67.6,0.01,1,10.6,NA,NA,NA,NA,,TOOK
D18,TOOK_outflow,lake,67.6,0.01,1,21.5,NA,NA,NA,NA,,TOOK
D18,OKSR,stream,58,0.007,0.7,10,58,2064.78,2869.01,804.23,ID15906000,TOOL
D19,CARI,stream,31,0.01,1,3.6,40,1110.12,1237.78,127.66,ID15535000,BONA
