"locationID","startDate","endDate","controlNumber","segmentNumber","controlActivationState"
"GUIL","2017-08-25T00:00","2017-08-25T00:00",1,1,1
"GUIL","2017-08-25T00:00","2017-08-25T00:00",1,2,0
"GUIL","2017-08-25T00:00","2017-08-25T00:00",2,1,0
"GUIL","2017-08-25T00:00","2017-08-25T00:00",2,2,1
