domain_id,site_name,HOR,name,description,cfgloc,well_depth,cable_length
D01,HOPB,301,HOPB.AOS.groundwater.well.001,Hop Brook Groundwater Well 001,CFGLOC103897,2.34,2.14
D01,HOPB,302,HOPB.AOS.groundwater.well.002,Hop Brook Groundwater Well 002,CFGLOC103899,2.24,2.017
D01,HOPB,303,HOPB.AOS.groundwater.well.003,Hop Brook Groundwater Well 003,CFGLOC103901,2.19,1.97
D01,HOPB,304,HOPB.AOS.groundwater.well.004,Hop Brook Groundwater Well 004,CFGLOC103903,1.93,1.7
D02,LEWI,301,LEWI.AOS.groundwater.well.001,Lewis Run Groundwater Well 001,CFGLOC103933,5.5,5
D02,LEWI,302,LEWI.AOS.groundwater.well.002,Lewis Run Groundwater Well 002,CFGLOC103935,5.37,4.87
D02,LEWI,303,LEWI.AOS.groundwater.well.003,Lewis Run Groundwater Well 003,CFGLOC103937,5.37,4.87
D02,LEWI,304,LEWI.AOS.groundwater.well.004,Lewis Run Groundwater Well 004,CFGLOC103939,5.6,5.1
D02,LEWI,305,LEWI.AOS.groundwater.well.005,Lewis Run Groundwater Well 005,CFGLOC103941,6.81,6.17
D02,LEWI,306,LEWI.AOS.groundwater.well.006,Lewis Run Groundwater Well 006,CFGLOC103943,6.88,6.23
D02,LEWI,307,LEWI.AOS.groundwater.well.007,Lewis Run Groundwater Well 007,CFGLOC103945,5.38,4.88
D02,LEWI,308,LEWI.AOS.groundwater.well.008,Lewis Run Groundwater Well 008,CFGLOC103947,5.38,4.8
D02,POSE,301,POSE.AOS.groundwater.well.001,Posey Creek Groundwater Well 001,CFGLOC101261,3.03,2.829
D02,POSE,302,POSE.AOS.groundwater.well.002,Posey Creek Groundwater Well 002,CFGLOC101262,3.02,2.852
D02,POSE,303,POSE.AOS.groundwater.well.003,Posey Creek Groundwater Well 003,CFGLOC101263,4.21,3.71
D02,POSE,304,POSE.AOS.groundwater.well.004,Posey Creek Groundwater Well 004,CFGLOC101264,2.98,2.78
D02,POSE,305,POSE.AOS.groundwater.well.005,Posey Creek Groundwater Well 005,CFGLOC101265,2.97,2.77
D02,POSE,306,POSE.AOS.groundwater.well.006,Posey Creek Groundwater Well 006,CFGLOC101266,4.4,2.64
D02,POSE,307,POSE.AOS.groundwater.well.007,Posey Creek Groundwater Well 007,CFGLOC101267,3.41,2.91
D02,POSE,308,POSE.AOS.groundwater.well.008,Posey Creek Groundwater Well 008,CFGLOC101268,3.13,2.63
D03,BARC,301,BARC.AOS.groundwater.well.001,Barco Lake Groundwater Well 001,CFGLOC101039,12.27,11.975
D03,BARC,302,BARC.AOS.groundwater.well.002,Barco Lake Groundwater Well 002,CFGLOC101040,11.59,11.1
D03,BARC,303,BARC.AOS.groundwater.well.003,Barco Lake Groundwater Well 003,CFGLOC101041,10.7,9.57
D03,BARC,304,BARC.AOS.groundwater.well.004,Barco Lake Groundwater Well 004,CFGLOC101042,10.19,9.68
D03,BARC,305,BARC.AOS.groundwater.well.005,Barco Lake Groundwater Well 005,CFGLOC101043,11.58,11.083
D03,BARC,306,BARC.AOS.groundwater.well.006,Barco Lake Groundwater Well 006,CFGLOC101044,9.24,11.118
D03,BARC,307,BARC.AOS.groundwater.well.007,Barco Lake Groundwater Well 007,CFGLOC101045,13.05,11.721
D03,BARC,308,BARC.AOS.groundwater.well.008,Barco Lake Groundwater Well 008,CFGLOC101046,13.3,12.841
D03,FLNT,301,FLNT.AOS.groundwater.well.001,Flint River Groundwater Well 001,CFGLOC112540,11.49,9.88
D03,FLNT,302,FLNT.AOS.groundwater.well.002,Flint River Groundwater Well 002,CFGLOC112541,13.04,12.05
D03,FLNT,303,FLNT.AOS.groundwater.well.003,Flint River Groundwater Well 003,CFGLOC112542,11.54,9.425
D03,FLNT,304,FLNT.AOS.groundwater.well.004,Flint River Groundwater Well 004,CFGLOC112543,11.53,9.45
D03,FLNT,305,FLNT.AOS.groundwater.well.005,Flint River Groundwater Well 005,CFGLOC112544,11.56,9.35
D03,FLNT,306,FLNT.AOS.groundwater.well.006,Flint River Groundwater Well 006,CFGLOC112545,13.07,10.94
D03,FLNT,307,FLNT.AOS.groundwater.well.007,Flint River Groundwater Well 007,CFGLOC112546,13.11,11.3
D03,SUGG,301,SUGG.AOS.groundwater.well.001,Suggs Lake Groundwater Well 001,CFGLOC101065,14.69,14.18
D03,SUGG,302,SUGG.AOS.groundwater.well.002,Suggs Lake Groundwater Well 002,CFGLOC101066,14.78,14.28
D03,SUGG,303,SUGG.AOS.groundwater.well.003,Suggs Lake Groundwater Well 003,CFGLOC101067,13.13,12.653
D03,SUGG,304,SUGG.AOS.groundwater.well.004,Suggs Lake Groundwater Well 004,CFGLOC101068,14.73,14.459
D03,SUGG,305,SUGG.AOS.groundwater.well.005,Suggs Lake Groundwater Well 005,CFGLOC101069,14.86,14.702
D03,SUGG,306,SUGG.AOS.groundwater.well.006,Suggs Lake Groundwater Well 006,CFGLOC101070,11.02,10.698
D03,SUGG,307,SUGG.AOS.groundwater.well.007,Suggs Lake Groundwater Well 007,CFGLOC101071,17.64,17.462
D03,SUGG,308,SUGG.AOS.groundwater.well.008,Suggs Lake Groundwater Well 008,CFGLOC101072,13,12.511
D04,GUIL,301,GUIL.AOS.groundwater.well.001,Rio Yahuecas Groundwater Well 001,CFGLOC101328,12.96,12.11
D04,GUIL,302,GUIL.AOS.groundwater.well.002,Rio Yahuecas Groundwater Well 002,CFGLOC101329,9.82,9.12
