"siteID","namedLocation","startDate","injectionType","slugTracerMass","slugPourTime","injectateSampleID","injConc","constantRateTracerMass","carboyVolume","dripStartTime","injRate","backgroundConc","plateauConc","hoboSampleID","injConcCalcQF","plateauCond"
"KING","KING.AOS.reaeration.station.04","2015-07-21T15:51Z","NaCl",,"2015-07-21T15:51Z","KING.00.20150721.TCR",116030,3266,18,,145,1.751,9.189,"KING_S4_20150721",0,618.8
"KING","KING.AOS.reaeration.station.01","2015-07-21T15:51Z","NaCl",,"2015-07-21T15:51Z","KING.00.20150721.TCR",116030,3266,18,,145,1.565,10.8556,"KING_S1_20150721",0,618.8
"KING","KING.AOS.reaeration.station.04","2015-07-29T16:00Z","NaBr",,"2015-07-29T16:00Z","KING.00.20150729.TCR",26358,1157,18,,145,1.6134,5.18406666666667,"KING_S4_20150729",0,
"KING","KING.AOS.reaeration.station.01","2015-07-29T16:00Z","NaBr",,"2015-07-29T16:00Z","KING.00.20150729.TCR",26358,1157,18,,145,1.5835,7.6766,"KING_S1_20150729",0,
"KING","KING.AOS.reaeration.station.01","2015-08-19T14:30Z","NaBr",,"2015-08-19T14:30Z","KING.00.20150819.TCR",0,0,18,,141,0.23953,0.3487575,"KING_S1_20150819",1,
"KING","KING.AOS.reaeration.station.04","2015-08-19T14:30Z","NaBr",,"2015-08-19T14:30Z","KING.00.20150819.TCR",0,0,18,,141,0.27626,0.368913333333333,"KING_S4_20150819",1,
"KING","KING.AOS.reaeration.station.04","2015-09-02T15:45Z","NaBr",,"2015-09-02T15:45Z",,0.555555555555556,0.01,18,,145,0.48975,0.61572,"KING_S4_20150902",1,
"KING","KING.AOS.reaeration.station.01","2015-09-02T15:45Z","NaBr",,"2015-09-02T15:45Z",,0.555555555555556,0.01,18,,145,0.48739,0.675285,"KING_S1_20150902",1,
"KING","KING.AOS.reaeration.station.01","2016-05-19T14:00Z","NaBr",,"2016-05-19T14:00Z","KING.00.20160519.TCR",368.421052631579,7,19,,200,,,"KING_S1_20160519",1,536.8
"KING","KING.AOS.reaeration.station.04","2016-05-19T14:00Z","NaBr",,"2016-05-19T14:00Z","KING.00.20160519.TCR",368.421052631579,7,19,,200,,,"KING_S4_20160519",1,536.8
"KING","KING.AOS.reaeration.station.04","2016-07-06T14:26Z","NaBr",,"2016-07-06T14:26Z","KING.00.20160706.TCR",1983,67,19,,224,0.28,0.498,"KING_S4_20160706",0,649.4
"KING","KING.AOS.reaeration.station.01","2016-07-06T14:26Z","NaBr",,"2016-07-06T14:26Z","KING.00.20160706.TCR",1983,67,19,,224,0.23,0.796,"KING_S1_20160706",0,649.4
"KING","KING.AOS.reaeration.station.03","2017-04-25T17:25Z","NaBr",2211,"2017-04-25T17:25Z","KING.00.20170425.TCR",12333.3333333333,222,18,"2017-04-25T17:25Z",200,,,"",1,591
"KING","KING.AOS.reaeration.station.04","2017-04-25T17:25Z","NaBr",2211,"2017-04-25T17:25Z","KING.00.20170425.TCR",12333.3333333333,222,18,"2017-04-25T17:25Z",200,,,"KING_S4_20170425",1,591
