name,latitude,longitude,easting,northing,elevationM,mapCode,E,N,H
BM8,18.10968162,-66.98602818,713107.7834,2003484.914,150.349858,Benchmarks,-20.98715,-36.01641,998.312637
BM9,18.11003886,-66.9861524,713094.2029,2003524.315,152.037221,Benchmarks,0,0,1000
BM10,18.11015062,-66.98624002,713084.7933,2003536.585,152.524791,Benchmarks,3.153161,15.141444,1000.48757
BM11,18.11021376,-66.98629383,713079.0207,2003543.511,152.789974,Benchmarks,4.632203,24.037869,1000.752753
BM12,18.1178218,-66.98701727,712993.2419,2004384.831,184.203071,Benchmarks,586.109104,638.368555,1032.16585
A7,18.11526557,-66.98655449,713045.3183,2004102.409,168.812936,Unknown,406.115532,414.504052,1016.775715
DSC_RB_PIN,18.11017122,-66.98646596,713060.8527,2003538.603,151.828841,Transect_DSC,-10.949344,34.599525,999.79162
DSC_XS,18.11018401,-66.98645688,713061.7982,2003540.029,151.718919,Transect_DSC,-9.251334,34.814366,999.681698
DSC_XS2,18.11019123,-66.98644982,713062.5363,2003540.837,151.359071,Transect_DSC,-8.157526,34.782352,999.32185
DSC_XS3,18.11019744,-66.98644703,713062.8249,2003541.528,151.202147,Transect_DSC,-7.445175,35.015149,999.164926
DSC_XS4,18.11020259,-66.98644444,713063.0922,2003542.101,150.996984,Transect_DSC,-6.836828,35.186403,998.959763
DSC_XS5,18.11020403,-66.98644406,713063.1309,2003542.26,150.795414,Transect_DSC,-6.690798,35.261138,998.758193
DSC_XS6,18.11020807,-66.98644166,713063.3798,2003542.71,150.688341,Transect_DSC,-6.186957,35.366653,998.65112
DSC_XS7,18.11021191,-66.98643891,713063.6664,2003543.138,150.64351,Transect_DSC,-5.675714,35.428836,998.606289
DSC_XS8,18.11021407,-66.98643792,713063.7685,2003543.379,150.63141,Transect_DSC,-5.426658,35.508605,998.594189
DSC_RFH,18.11021527,-66.98643776,713063.7845,2003543.512,150.420197,Transect_DSC,-5.315669,35.583212,998.382976
DSC_XS9,18.11021749,-66.98643681,713063.8823,2003543.759,150.400053,Transect_DSC,-5.064429,35.670573,998.362832
DSC_XS10,18.11022064,-66.98643532,713064.0365,2003544.109,150.261896,Transect_DSC,-4.698431,35.78235,998.224675
DSC_XS11,18.11022375,-66.98643218,713064.365,2003544.457,150.234683,Transect_DSC,-4.220218,35.760705,998.197462
DSC_XS12,18.11022607,-66.98643068,713064.521,2003544.716,150.237005,Transect_DSC,-3.922141,35.811534,998.199784
DSC_XS13,18.11022838,-66.98642964,713064.6274,2003544.973,150.168971,Transect_DSC,-3.65812,35.898512,998.13175
DSC_XS14,18.11023087,-66.98642788,713064.8106,2003545.251,150.210301,Transect_DSC,-3.328033,35.941059,998.17308
DSC_RBF,18.11023202,-66.98642721,713064.8809,2003545.379,150.120619,Transect_DSC,-3.185068,35.971532,998.083398
DSC_XS15,18.11023422,-66.98642591,713065.0154,2003545.624,149.917104,Transect_DSC,-2.911577,36.029608,997.879883
DSC_XS16,18.11023724,-66.98642364,713065.2527,2003545.961,149.886611,Transect_DSC,-2.501315,36.069758,997.84939
DSC_XS17,18.11024058,-66.98642114,713065.5131,2003546.333,149.924241,Transect_DSC,-2.049381,36.115335,997.88702
DSC_XS18,18.11024427,-66.98641827,713065.812,2003546.745,149.974783,Transect_DSC,-1.542065,36.15786,997.937562
DSC_REW,18.11024525,-66.98641797,713065.8424,2003546.854,149.728286,Transect_DSC,-1.439728,36.205904,997.691065
DSC_XS19,18.11024709,-66.98641681,713065.9637,2003547.059,149.678745,Transect_DSC,-1.205048,36.24796,997.641524
DSC_XS20,18.11024822,-66.98641572,713066.0775,2003547.185,149.670321,Transect_DSC,-1.035088,36.244208,997.6331
DSC_XS21,18.11025039,-66.98641471,713066.1811,2003547.426,149.630715,Transect_DSC,-0.784909,36.322948,997.593494
DSC_XS22,18.11025258,-66.98641294,713066.3658,2003547.671,149.568511,Transect_DSC,-0.478518,36.343102,997.53129
DSC_XS23,18.11025447,-66.98641213,713066.45,2003547.88,149.558292,Transect_DSC,-0.264995,36.41596,997.521071
DSC_XS24,18.11025635,-66.98641075,713066.5934,2003548.09,149.514797,Transect_DSC,-0.012366,36.444313,997.477576
DSC_THL,18.11025787,-66.98640931,713066.7439,2003548.26,149.494429,Transect_DSC,0.214817,36.441361,997.457208
DSC_XS25,18.11025957,-66.98640798,713066.8826,2003548.45,149.510219,Transect_DSC,0.449289,36.460281,997.472998
DSC_XS26,18.11026073,-66.98640734,713066.9491,2003548.58,149.544159,Transect_DSC,0.590848,36.494401,997.506938
DSC_XS27,18.11026205,-66.98640646,713067.0405,2003548.727,149.592737,Transect_DSC,0.762004,36.521256,997.555516
DSC_XS28,18.11026311,-66.98640542,713067.1494,2003548.845,149.615494,Transect_DSC,0.922539,36.515781,997.578273
DSC_XS29,18.11026466,-66.98640444,713067.2509,2003549.018,149.760697,Transect_DSC,1.119639,36.551629,997.723476
DSC_XS30,18.11026562,-66.98640355,713067.3448,2003549.125,149.82761,Transect_DSC,1.262756,36.550952,997.790389
DSC_LBF,18.11026626,-66.98640302,713067.3993,2003549.197,150.000132,Transect_DSC,1.352328,36.556214,997.962911
DSC_XS31,18.11026718,-66.98640267,713067.4358,2003549.299,150.178954,Transect_DSC,1.453597,36.595279,998.141733
DSC_LFH,18.11026728,-66.98640193,713067.5138,2003549.311,150.37141,Transect_DSC,1.513425,36.543789,998.334189
SP_0.50M,18.11026077,-66.98640068,713067.6536,2003548.591,150.169341,Gauge,1.059437,35.968037,998.13212
S2_BASE,18.11026489,-66.98641048,713066.6117,2003549.036,149.525021,Sensor,0.716182,37.047992,997.4878
DSC_LB_PIN,18.11028453,-66.98638946,713068.8132,2003551.234,153.011941,Transect_DSC,3.819165,36.815084,1000.97472
BM11_CHECK,18.11021385,-66.98629359,713079.0464,2003543.522,152.789259,Benchmarks,4.656947,24.025344,1000.752038
BM10_CHECK,18.11015026,-66.98624013,713084.7815,2003536.545,152.523921,Benchmarks,3.115371,15.124483,1000.4867
BM4,18.11010547,-66.98619782,713089.3143,2003531.635,152.457605,Benchmarks,2.354737,8.483972,1000.420384
BM9_CHECK,18.11003889,-66.98615224,713094.22,2003524.318,152.037632,Benchmarks,0.01387,-0.010581,1000.000411
D1,18.11016302,-66.98626529,713082.1036,2003537.928,152.088416,Unknown,2.414817,18.056551,1000.051195
LEW,18.11009881,-66.98626477,713082.2357,2003530.821,149.514793,LEW,-2.884174,13.315909,997.477572
LEW2,18.11010519,-66.98626988,713081.6879,2003531.521,149.541718,LEW,-2.711213,14.188261,997.504497
LEW3,18.11011026,-66.98627829,713080.7908,2003532.073,149.550824,LEW,-2.879121,15.228064,997.513603
LEW4,18.11011762,-66.98628269,713080.3169,2003532.883,149.560787,LEW,-2.574797,16.116092,997.523566
LEW5,18.11012602,-66.98628725,713079.8238,2003533.806,149.568262,LEW,-2.196924,17.092784,997.531041
LEW6,18.11013534,-66.98629072,713079.4455,2003534.834,149.550099,LEW,-1.664791,18.050754,997.512878
LEW7,18.11013844,-66.98628979,713079.5397,2003535.179,149.569159,LEW,-1.34212,18.204506,997.531938
LEW8,18.11014736,-66.98629276,713079.2143,2003536.162,149.562834,LEW,-0.809739,19.092837,997.525613
LEW9,18.11015728,-66.98629583,713078.8772,2003537.257,149.581105,LEW,-0.200369,20.063104,997.543884
LEW10,18.11016247,-66.98629841,713078.5987,2003537.828,149.563856,LEW,0.050828,20.64727,997.526635
LEW11,18.1101684,-66.98630022,713078.3991,2003538.482,149.587672,LEW,0.416093,21.225582,997.550451
LEW12,18.11017159,-66.98630351,713078.0469,2003538.832,149.598689,LEW,0.451221,21.720883,997.561468
LEW13,18.11019719,-66.98632601,713075.6348,2003541.64,149.584447,LEW,1.003429,25.381602,997.547226
LEW14,18.1102103,-66.98633509,713074.6579,2003543.081,149.593276,LEW,1.457501,27.062806,997.556055
LEW15,18.11021609,-66.98634268,713073.8476,2003543.713,149.588574,LEW,1.407201,28.089342,997.551353
LEW16,18.11022154,-66.98634684,713073.401,2003544.311,149.639735,LEW,1.569097,28.818512,997.602514
LEW17,18.11022792,-66.98634892,713073.1731,2003545.015,149.646986,LEW,1.953931,29.451,997.609765
LEW18,18.1102337,-66.98635112,713072.9329,2003545.652,149.687275,LEW,2.279636,30.048882,997.650054
LEW19,18.11023624,-66.98635647,713072.3631,2003545.927,149.690034,LEW,2.115762,30.660056,997.652813
LEW20,18.11023981,-66.98636175,713071.8002,2003546.316,149.73183,LEW,2.043166,31.340633,997.694609
LEW21,18.11024156,-66.98636805,713071.1308,2003546.503,149.721997,LEW,1.747387,31.969597,997.684776
LEW22,18.11024297,-66.98637089,713070.8293,2003546.655,149.787991,LEW,1.665985,32.297649,997.75077
LEW23,18.11024602,-66.98637116,713070.7961,2003546.993,149.778994,LEW,1.900056,32.543132,997.741773
