"locationID","startDate","endDate","controlNumber","priorExponent","priorExponentUnc","priorCoefficient","priorCoefficientUnc","priorActivationStage","priorActivationStageUnc"
"HOPB","2017-09-21T16:00","2017-09-21T16:00",1,1.5,0.05,10.8600850770745,2.71672101932855,0.04,0.01
"HOPB","2017-09-21T16:00","2017-09-21T16:00",2,1.5,0.05,3.14967553690402,0.792641426460196,0.18,0.01
"HOPB","2017-09-21T16:00","2017-09-21T16:00",3,1.67,0.05,23.1965804142779,0.687478264653401,0.525,0.01
